Year,Mean Max Temp (C)
2002,25.85
2003,26.75833333333333
2004,27.01666666666667
2005,26.924999999999997
2006,26.058333333333334
2007,25.925
2008,25.991666666666664
2009,26.5
2010,26.175
2011,25.608333333333334
2012,25.883333333333336
2013,26.608333333333334
2014,26.291666666666668
2015,26.74166666666667
2016,27.158333333333335
2017,26.883333333333336
2018,26.558333333333337
2019,25.344444444444445
