Year,T
1950,7.3
1951,7.9
1952,8.7
1953,9.2
1954,8
1955,8.8
1956,7.3
1957,8.3
1958,7.6
1959,8.3
1960,7.7
1961,8.2
1962,7.8
1963,7.6
1964,7.6
1965,6.9
1966,7.3
1967,-
1982,7.2
1983,8.1
1984,7.6
1985,7.5
1986,7.8
1987,8.8
1988,8.1
1989,7.3
1990,8.9
1991,9.1
1992,7.3
1993,7.5
1994,7.5
1995,8
1996,7.3
1997,7.8
1998,10.5
1999,9.7
2000,8.4
2001,9.8
2002,-
2003,8.1
2004,8.4
2005,-
2006,9.9
2007,9.2
2008,8.4
2009,8.3
2010,9.8
2011,9.4
2012,10.7
2013,8.7
2014,7.7
2015,8.9
2016,10.3
2017,9.5
2018,9.2
